sentiment,text
1,"can't wait until 2morrow new haircut, mommy bday && day26 concert"
0,sure glad it isn't 97 until tomorrow again
1,@MENTION awwww have a nice nap sweets!!
0,i keep getting rained on
0,"@MENTION yeah. we always have new teachers every year. but you know what, my new adviser is my biology teacher last year."
1,@MENTION u need to head to australia so i can get all my books signed lol
1,"@MENTION re: ""farewell video"" - thanks, chris; i had to do it like three or four times to get it right. my clone strikes again!"
1,@MENTION i most definitely am.
1,"is watching the league of gentlemen's apocalypes, class film"
1,@MENTION lol
1,"@MENTION i just facebook-ed you, so there"
1,@MENTION goodluck with the interview @MENTION don't shit yourself whilst doing the interview.
0,work soon. boo.
1,@MENTION: about 1pm. squeaking?! hell squeaking?! d:
0,i don't understand why my stomach hates me so much what did i do to you stomachhh?!!?
0,"done a full day at work today, 9 hours on my feet hurts my back so much looking forward to babysitting tonight and mml tomorrow!"
0,hmmm can i rescue the data from an phone crushed under a bus......no as wasnt enough pieces of it left
1,@MENTION pas op met de update van itunes
0,@MENTION my dm says it has 2 messages.. but they're not popping up.
0,@MENTION as long as i got u still i think ima be okie and i promise promise ima cheer up manan thou
1,@MENTION - continue to be optimistic. you bring joy to so many people
1,@MENTION i didn't want anything to happen to my mac while on the trip...from now on i'll never leave home w/out it!
1,<- va ôøωcouter fires of rome
1,looking forward to the theatre tonight
0,@MENTION @MENTION ok in jealous now.... wish j could have stayed
1,happy mother's day to all the dog mothers celebrating today
1,"morning twitter! rs exam today. =[ but when the exam finishes at 11am, i can go home again"
0,"world snooker semis, magic weekend & premiership football all on tv today, but i've gotta go to the library to write about tony blair"
1,"@MENTION well, i knew mentally... just thought you were still in bed."
0,cant fall asleep
1,just went to a 3 1/2 hour party
0,"is feeling homesick all of the sudden. batch '07, i miss you"
1,@MENTION hahaha! yess please follow my 2 wonderful cousins! @MENTION and @MENTION and @MENTION = i made this.
0,"@MENTION it just upsets me , becasue like 6 years we have loved them .. and then this happens imm really uset now x"
0,"i really, really hate being up this early."
0,my neck fucking hurts.. whos down for bc this week.??????
1,i'm eating blueberries and raspberries and grapes and i feeeel healthy! hah!
1,thank you baseball team for ruining friday night
1,@MENTION 2-3 weeks time. then you won't have to enter your credentials but we are 100% safe to use cheers!
0,lmao...sorri 4 your nose boobie...lol @MENTION @MENTION omg i'm on the bus with one...my nose hairs burn
1,@MENTION very clever idea! i like it!
1,just got home from a short vacation
0,just got some new fone and the texts from everyone are stuck in the old one fuck la.
0,@MENTION oh wow...lmao!!!!!! moms and their beaus...i hate mines
0,planning to get my drink on this weekend before i start south beach diet next week. no booze for the first 2 weeks.
1,"about to eat some bumpy cake. oh, and i am in love with being in love"
1,@MENTION hahaha the video is great
1,@MENTION ima follow youu
0,"need to get out of i.t.... pay good, work flexible, but no good for the soul."
1,baby shower was awesome! thanks to everyone who made it to the party fb
1,@MENTION hi! just wondering if you have any idea about the competition happening at tweeterwall?!
0,"i badly want to go to the itunes live festival on the 1st july, but i'll be on holiday"
0,@MENTION no boss. still trying to locate that
0,@MENTION awww cute! what breed? i had horses 4 many years...too expensive now
1,@MENTION have a fantastic time heather! take lots of pictures
1,@MENTION listening to gil scott-heron: please share.
1,@MENTION you sir are a lazy ass
1,the play was really good. i loved it! now i'm at the chinese restaurant with girlfriend and alison.
1,@MENTION 7 weeks will go soon enough will you be doing m cubed full time after that?
1,keep on following me
1,"five. hundredth. tweet. dedicated to: elton john, songs w/my name in it, summer, and the nonexistance of ""loooooooove"""
0,@MENTION i have to work!
1,drove for 7 hours only to end up where she started....a the fun of being on the road selling wine
0,"@MENTION yes, they fly from tampa to seattle on saturday, then get on the ship sunday. i however will be house sitting...."
0,@MENTION tomorrow is soho i look out for you!! i dunno where to find good streetwear here
1,first aid course tomorrow; melbourne on thursday; yay.
1,"tommy asked ""what's your favorite fruit"" i said you"
1,i'm going to have good dreams tonight
1,the ataris are back!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0,"happy father's day. i wish i could enjoy it with my son, though sadly i cannot."
1,"starting to get ready for social media presentation in springfield oregon on june 23. heck, three weeks should be enought time to prepare"
0,i can't open baby v's pic!!!
1,@MENTION - wow amsterdam looks soo beautiful the view is awesome danny and the tree
0,@MENTION how's the updating going? mine would't work as it says the servers are down
1,@MENTION hey guess what? it's andyhurleyday
0,jls new album coming out on the 3rd july !!!! :-d can't wait for it to come out !!!! but the down side is at alton tower xxxx
0,oh. my. god. huge spider on the wall by my door. i'm deathly scared of spiders!
0,i am worried that i won't get my $900 even though i paid a buttload of tax last year !
1,thank u campbellwil follow friday luv ya!
1,yay ... its sunny out ... i wish i had a dog .. i would so go walk it!!! lol
1,got my offer from liverpool today still goin to anglia tho..
0,lunch at my desk today my desktop has a countdown till 6:30pm everyday!!
1,@MENTION which will make the whole thing even better love
0,"plane is here and people are exiting! boarding shortly, almost home but i really really don't wanna be"
0,im annoyed i so badly wanted to watch the mtv movie awards live
0,"@MENTION oh, dear, junie! i hope you'll get well soon & be healthy & happy, coz you have so light soul! i'll pray god give you heath."
0,@MENTION i want to go soo bad!!!
1,"@MENTION i am in kuala lumpur. and i know i vanished, haha! i broke up with my last boyfriend, that's why i'm back!"
1,@MENTION : see'ya on the fest!
0,might not be going to dublin any more - depends on weather - forecast is for rain in the morning at the moment
1,@MENTION we see you cause there is no more idol
1,sunshine's back
0,missing the nice weather
1,@MENTION i love you too jenna! so much.
1,working at home!!
1,"@MENTION alright i'll twitpic my new do to you when i'm home, so i'm off! xo"
1,@MENTION haha i hope it did. good night have a good sleep.
1,"@MENTION tori, all your fans love you and support you!!!"
1,@MENTION and how are you this evening?
0,@MENTION i dont think he is on anymore
1,"alrighty.. i think it's time that i should get off now. g'night, twitter world"
0,@MENTION oooh you're so lucky - i'm jealousssss xx
1,@MENTION oh snap!! that's crazy! i'm an aggie--- went to ucd! visit friends in roseville occassionally!! i fly weekly to pdx for work
1,@MENTION hah‚äîthe look on ur face the night we all had eritrean food in brixton & i neither threw a fit nor did i ask for cheeseburgers.
1,going to be responsible and do school work eventhough i want to enjoy the weather and walk along the river... almost done for the summer!
1,really does not wanna go to work at all this week....had way to much fun of a weekend!!
1,"@MENTION its never a problem mikey i'm here for anyone no matter when or how late. sleep well, and i'll pray 4 no more nightmares"
1,@MENTION lol i would die from the pain!! (@MENTION & @MENTION do the pic a day thing too)
0,"evening all, have chronic back ache so feeling sorry for myself"
0,and i can't get it to open
0,- booooo no beer to bbq with
1,@MENTION you're so welcome personalbranding followfriday
1,@MENTION you free tomorrow night? we're going to the fair! we can ride the ferris wheel and talk about the last episode of lost!
1,time to work out and then shower and then out.
1,was forced to watch the french open this morning as dad has taken over the remote
1,[devo ôøω watch us work it] watch me work it. today's music birthdays - may 18th... ?
1,@MENTION i was quasi vegan (except for the odd tin of tuna) for a few months this year and loved it. then i suddenly desired steak
0,shopped for girls state (all my clothes are apperently too inappropriate. oh well. who says no to shopping??) now studying at b&n. boo
0,wants to go see the proposal tonight but has no one to go with ....not so happy friday anymore.
1,"@MENTION haha awww... wana do a mixtape? weneva you ready, we'll get a mixtape goin, hosted by jassy"
0,i want him!!!!!! his name is shorty. owner give up and has been abused how? how can people do that?
1,"drake,drake,drake got damn...@MENTION watch this (shout out to @MENTION for the link )"
1,is hopin to see her bubbaaaa
1,"@MENTION awesome! i love those pics, btw. take more, please."
0,maximo park in liverpool were immense! sad the weekend's over and had to say bye to rich working on good morning wales now - lil sleepy!
1,"playing diner dash/jammin to kris allen/waiting for lauren to get here oh my gosh, i'm so excited!"
1,"@MENTION girll i am so nervous but did you see donnie's update ""in li about to hit up a few clubs"" ahhhh i hope they all come here"
1,"@MENTION makes you need to go to the bathroom. you're meant to drink lots of it. trust me, i stayed up all night once"
1,@MENTION well hello there sorry i didnt see your message
1,twitter me baby! a-go head baby
1,at my loves house
0,he's over russel brand is next
0,"crap! school tomorrow, goodbye holidays"
0,just saw a guy get sprayed by a passing bus
0,@MENTION i cant believe youre done and im not boooo schools ruining all of our fun
0,"@MENTION i'm terrified of mel gibson, but for around 13 seconds i was mortified in a very envious way"
0,"nope, not yet try again after 6pm gmt."
0,back tire flat again no ride to work..
1,@MENTION doing good. just was wondering how you been
0,"dontyouhate when you are so excited it is friday but, you are too tired from the long work week to even enjoy it. damn i'm tired"
1,had great time at grade school reunion! thanks ladies!! hope i wasn't too obnoxious.
0,another one of my dog. i miss him
1,ha! william got gum stuck in his hair so he had to cut it out. fuck head
1,following now: @MENTION
0,just getting ready for summertime ball at emirates stadium on sunday!! should be fun!! though working hard
0,i feel like shit right now
1,just back from shopping i have nice new things
0,"damn you, twitter. i just can't quit you! i'm lonely."
0,"tummy so full, but i still want to eat. hate that feeling. was thanked for speaking up about retarded morning crew. i can has raise now?"
0,@MENTION i love jomo but hawkins and ryder are good too
1,@MENTION i watched josey tonight too
1,eating tempura crackers. yum!
1,"i'm up and ready for my day! the suns out and my smile is shining my favz @MENTION n @MENTION are on their way to thee 617, finally"
1,@MENTION special was just the best way to describe it ...
0,"@MENTION i'm lonely too, sad."
0,- rip uncle al
1,observed a lot of clown suits in the excellent portland rose festival parade..one day i write 'clown suits'; next day they manifest.scary
0,@MENTION @MENTION job has pushed me to the breaking point. thx guys for caring... mwah!!!
1,"awake! damn, really wanted a lie in today! cancer bats tomorrow, cant wait x"
0,ewww exams
0,i has a hangover courtney :]
0,this is the best lunch ever! yum yum yum...now back to work
0,is lonely and wants more followers follow me people!...if you don't i will hunt you down and urinate on your front door!
0,@MENTION same desk different location. don't like it.
1,"@MENTION back at you, sweetness."
1,ah! flight control 1.2 has touched down!!
1,busy week! met with an outreach worker today about doing group activities decided im going to really push myself to recover from anxiety!
0,@MENTION so do i
0,i wish i had got to meet my mums mum
1,@MENTION if you'd be interested in such a thing.
0,feeling ill so no school for me today
1,@MENTION did you just call me stupid? lol jk jk and thanking for followfriday- ing me!
1,@MENTION i agree!
0,thanks to everyone who signed the petition to save the geese. they are killing them anyway
0,omg lolita's on tcm. too bad i have to work early
1,@MENTION good luck and njoy mate. must connect next week once u recover.
0,my legs are sunburned and now it hurts to move
0,"off work next few days, trying to enjoy it before summer school starts monday"
1,going to go hang out with my chicks ..
0,can't seem to change my picture !
0,@MENTION me too! i don't want to.. i like my old phone
0,@MENTION the forecast for where we are is rain all day which is really annoying
0,omggg i need to give aidan davis a massive hug right now!!
1,<3 <3 <3 holy shit the best words <3 <3 <3
1,"i'm really enjoying the nice day today, please may we have more sun"
1,@MENTION hiiii what's up? k√ºsse (:
1,"is listening to ""battlefield"" by jordin sparks. it's nice guys!"
0,at work
1,@MENTION so √§hnlich.
1,@MENTION
1,"@MENTION hi there.. thx 4 following ^.^ i'm addicted 2 twitter too, not tweet a day makes my finger numb kekekeke"
1,"back, watching something about big brother"
0,goin to tweet off eyes all swollen and itchy
1,@MENTION hmm but you can't view my blog? weird. i'll try again.. or maybe check your spam!
0,getting ready for week its too nice today to be stuck inside working!
0,i ran out of chapstick. my other one is in my locked car.
1,@MENTION @MENTION @MENTION nice meeting you at the game!
1,"@MENTION eeyy what up? i read you've finally got a mob. phone with internet!! way 2 go 21st century, man!"
0,just leavin the dr. my cat scan results were crazyy! they wanna do surgery.
1,"@MENTION omg drew, i love you"
0,"@MENTION hey, do you still have the power adapter from your dead (rip) macbook? i forgot mine at the workshop."
1,"@MENTION thanks but, i'll think about it. maybe i could b like the ppl on youtube! i'll see if my scanner workin in the mornin'"
1,@MENTION uk ready for ya will you be round nottingham way?? hoping so
0,@MENTION i wasn't at the top of my game. messed up a bunch of the low light shots.
0,- i will be sleeping in this mess tonight. cba with work tomorrow
0,hates the fact that she has to work instead of going dress shopping with my cousin!!!
1,"@MENTION hopped up out the bed turn my swag on took a look in the mirror said what's up? yeah, i'm getting money, oh (its in my head)"
1,@MENTION thanks for the suggestions we'll try not to have too much fun without ya!
0,you really do love her
0,@MENTION im at homee in bed. sick as hell!!
0,sleeeppyy snuugggllllyy time just a few more hours with my melly
1,"@MENTION sleep tight, sara when you go to tv.com, pls check out my blog."
1,good morning! abby has a summer b-day so today she gets to celebrate her un-b-day today w/ her classmates. she's wearing her new dress.
0,i went to wamu with my bro and left my purse and now i wanna go shoppin'!
0,day off! time to clean
0,is sitting on the bus soaked to the skin. where did all the sun go?!
1,@MENTION maybe if you worked instead of playing on your phone you might get better tips! lol jk
0,@MENTION lucky you.
0,@MENTION no new followers for me
0,@MENTION that's so awful
1,"@MENTION oooh, can't wait to see it!"
1,"@MENTION congratulations! great article, and great advice. i will need this next year. thanks for sharing it!"
0,"@MENTION i think i have tried everything but feel free to try to crack it, i am at a loss"
1,@MENTION i'm a canadian...the tour is supposed to be across the us...and i'm moving to montreal.
0,"i saw an old man get hit by car, he lookd like a rag doll, i thought i was gettn punked"
0,"cough getting worse after breif reprise, currently struggling to breathe wishing i had an o2 mask and lots of morphine nn"
0,i'm jealous of everyone who got to watch @MENTION and david cook's concert!!!
0,there was a cat on my fence and i went out to pet it and now it wants in my house. my heart is breaking. its meowing outside.
0,what would i do if i were in their shoes?
0,"@MENTION thanks for the link, i'll be sure to catch the last preview show today... race week, kinda slow show"
0,i need to know if it's over..cause i will leave you alone.
0,@MENTION don't worry!! it's just that i miss them so badly
0,"""obsessed"" was good!! hanging out wit my girls is the best! too bad i didn't c my boo thang ... lol"
1,yay whiskey!
1,@MENTION sorry i'm on my psp. this is what i do almost everynight. reading kgffs on my psp!
1,i got my second holes pierced today
0,15 years without ayrton senna... so sad!
0,"@MENTION i can't, i'm coding. if i sit on them they just stop typing, and coding without typing is no good. hahaha"
0,@MENTION i forgot that was on.. wanted to see favre and if he said anything bout my vikings
1,"on the good note, i'm off from work! yay! time to go home, join the clouds for a bit and rest my little head to sleep."
0,missed church today.... hw would u feel if ya drummer at ya church didn't make it?
0,"@MENTION we got to the kenilworth arts bldg around 330 and saw chloe, but not the installation - she'd just disinstalled it"
1,@MENTION is cool ... i wish i have the time to blog
0,@MENTION yep. i made the guy open the cans to check. i just wish i'd realized i would need a 5th gallon.
0,winter is officially here...
0,@MENTION rip peigh's brain
1,watching the bachelorette with my mom
0,finally finished catching up on battlestar galactica. so sad it's over
1,"@MENTION yes, sounds like great weather for you! any good pics?"
1,still roaming around nyc... great times with @MENTION!
1,first ice cream of the year
1,"@MENTION well crap, then we are getting you a metal casket and welding it shut"
0,feeling really energetic but i'm stuck inside revising
1,my password has been changed
1,is getting cable i knew i could improve this house somehow!
1,fly-in pancake breakfast seemed to be a big success this morning
1,"@MENTION just link us, then delete it in a matter of minutes"
1,@MENTION go jade go !!!!!!!!!!!!!!!!!!!!!!! send us more pics? please !!!have fun xx
0,got up at 3 and went to watch my sister work in colorado. been here less than 24 hours and am about to leave gotta go back to bein an oke
0,yup i still play. though i haven't seriously played for three years
1,i remember when sam said i was the only reason we were all best friends i was the glue
0,pretty upset that i'm not on the nkotb cruise!!!
0,@MENTION you haven't said hi all day
0,tis poslaju wait until i have to go their counter send the item rather than wait them come our place for pick up maybe mosquito bite d
1,@MENTION hey can you email me that captain kirk picture you sent me earlier? i wanna make it my background on my phone
0,"finally up, i slept so good, but chest and throat still hurts this morning..."
0,boat broken luckily surrounded by fit men in leathers!
1,@MENTION your in luck its the weekend no construction
1,cant wait to see new moon!!!!!!!
1,@MENTION (and everyone else): it's impossible for someone to dm you if you aren't following them = i can't reply to your question
1,saw a bear and her cub.
1,the drive with the fatty's another 5 hours haha rooaaadddd trriiipppp!!!!!!!!!!!!!!!!!!!!!!
0,@MENTION i hadddd 5. 3 now
0,its hot.
1,@MENTION good morning to you. and i am going to bed soon
0,@MENTION bar prep i'd let you know but i haz negative scheduling powers-will tell you once i know. :x lol sry to you & @MENTION
0,just took a shower and cut myself shaving awww mannn. it stings!
0,having no money is not fun
0,getting the kiddies ready for bed.. good night
0,@MENTION oooh crap!!! did u check with subway it nt been handed in? if u need the one i have just say hugs lou
1,@MENTION i am sicilian thanks for liking the new pic. xoxo
